Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-09-02,On the Line,2022,https://boxd.it/4MNHxf,1.5,,¿Se supone que el giro del final justifica todas las malas actuaciones y situaciones bizarras vistas anteriormente?,,2023-09-01
2023-09-03,Past Lives,2023,https://boxd.it/4N42O9,5,,"""Hay una palabra en coreano. In-Yun. Significa: “providencia"". O más bien... destino. Pero se usa especialmente sobre las relaciones entre las personas. Creo que viene del Budismo y la reencarnación. Es un In-Yun cuando dos extraños se cruzan en la calle y sus ropas se rozan entre sí, porque significa que algo pasó entre ellos en sus vidas pasadas. Cuando dos personas se casan, decimos que es porque ya ha habido 8000 capas de In-Yun anteriormente, más de 8000 vidas.""",,2023-09-02
2023-09-04,I Origins,2014,https://boxd.it/4Np6PR,5,,"Porque nunca es tarde para ver una película que quedará grabada en tus ojos, en tu memoria y en tu alma para siempre.",,2023-09-03
2023-09-05,An Argentinian in New York,1998,https://boxd.it/4NJKVZ,3.5,Yes,"Volví a ver ""Un Argentino en Nueva York"" después de 25 años y sí, basicamente, es Francella haciendo de Francella tocando los platillos... pero no lo puedo evitar, le tengo un cariño muy especial porque fue una de las primeras películas que vi en el cine, siendo muy chiquita, y en su momento la amé!",,2023-09-04
2023-09-06,Your Son,2018,https://boxd.it/4O2BMx,2.5,,"Tiene un sorprendente giro final, pero el desarrollo de la historia es tan lento que no resulta suficiente.",,2023-09-05
2023-09-07,2:37,2006,https://boxd.it/4OiNvP,4,Yes,"Cuando realmente entendés por qué lado viene la película, te shockea.",,2023-09-06
2023-09-08,4x4,2019,https://boxd.it/4OyUnZ,2.5,,"Mientras la trama se desarrolla dentro del vehículo, la tensión se mantiene y aumenta. El problema está cuando va saliendo del mismo e incorporando personajes.",,2023-09-07
2023-09-09,Truman,2015,https://boxd.it/4ONxFr,4,Yes,"Vine por el perrito y me encontré con un hermoso debate sobre la amistad, la muerte y las cuentas pendientes de la vida.",,2023-09-08
2023-09-10,No Hard Feelings,2023,https://boxd.it/4P7hnr,4,,"Cero expectativas en esta comedia que me sorprendió gratamente. Divertida, fresca y con un lindo mensaje final.",,2023-09-09
2023-09-11,7 Boxes,2012,https://boxd.it/4Pt3zR,4.5,,"Nivel Hollywood, pero en guaraní.",,2023-09-10
2023-09-12,Remember Me,2010,https://boxd.it/4POu73,3.5,,"Una fecha no puede ser la responsable de uno de los plot twists más tristes de las últimas décadas...

La fecha: September 11, 2001.",,2023-09-11
2023-09-13,Miracle in Cell No. 7,2019,https://boxd.it/4Q48gJ,4,,La actuación de Aras Bulut İynemli en esta película te destruye el corazón por completo.,,2023-09-12
2023-09-14,The Crowded Room,2023,https://boxd.it/4Qj56V,4.5,,"No entiendo las críticas ""especializadas"". Una maravilla de serie, profunda, intimista, con actuaciones soberbias.",,2023-09-13
2023-09-15,Burning Body,2023,https://boxd.it/4QyawJ,4,,"Atrapante. Aún más si sabés poco y nada del caso real.

Mención aparte para la banda sonora, de lujo!",,2023-09-14
2023-09-16,Killer Book Club,2023,https://boxd.it/4QMC47,3,,"Soy tan poco exigente con el género slasher que con que me mantenga entretenida, está bien.",,2023-09-15
2023-09-17,Love at First Sight,2023,https://boxd.it/4R5irD,5,,"""Is it better to have had a good thing and lost it, or never to have had it?""

Bellísima ❤️",,2023-09-16
2023-09-18,Infinity Pool,2023,https://boxd.it/4RoSiF,3.5,,Si algo hay que reconocerle a Infinity Pool es su originalidad y solidez en lo que quiere contar y criticar.,,2023-09-17
2023-09-19,12 Years a Slave,2013,https://boxd.it/4RNhTz,2,,"Conecto desde lo humano con todo lo ocurrido a lo largo de la historia, no así con estas interpretaciones ni con la forma de contar.",,2023-09-18
2023-09-20,18 Presents,2020,https://boxd.it/4S3bL7,4.5,,"De las películas con las que más lloré en mi vida, un dramón con todas las letras.",,2023-09-19
2023-09-21,When You Finish Saving The World,2022,https://boxd.it/4SfMFp,2.5,,Cringe family.,,2023-09-20
2023-09-22,22 vs. Earth,2021,https://boxd.it/4SuOFr,3,,Entretenido corto precuela de la asombrosa Soul.,,2023-09-21
2023-09-23,Soul,2020,https://boxd.it/4SLDIN,4.5,,"La película más adulta, profunda y existencial de Pixar.",,2023-09-22
2023-09-24,Asteroid City,2023,https://boxd.it/4T2aL3,2,,"Visualmente alucinante, pero nunca logré conectar ni con la historia ni con ninguno de los personajes.",,2023-09-23
2023-09-25,30 Nights with My Ex,2022,https://boxd.it/4TpWOl,3,,"Suar haciendo de Suar pero, esta vez, con una ex esposa con problemas psiquiátricos.

Dicho esto, no es malísima, tiene momentos graciosos y hasta sentimentales. Y es Pilar Gamboa quien lo hace posible.",,2023-09-24
2023-09-26,90 Minutes in Heaven,2015,https://boxd.it/4TJt9X,2,,La típica película de los domingos por la tarde de Telefe.,,2023-09-25
2023-09-27,365 Days,2020,https://boxd.it/4U0Sed,1.5,Yes,"<a href=""https://boxd.it/4U0Sed"">365 dni ✔️</a>
<a href=""https://boxd.it/4UgiBn"">365 dni: Ten dzień</a>
<a href=""https://boxd.it/4UwAa7"">Kolejne 365 dni</a>

Aún siendo mala, esta primera parte de la, hasta el momento, trilogía tenía algo de trama, comparada con las que vendrán.",,2023-09-26
2023-09-28,365 Days: This Day,2022,https://boxd.it/4UgiBn,1,,"<a href=""https://boxd.it/4U0Sed"">365 dni ✔️</a>
<a href=""https://boxd.it/4UgiBn"">365 dni: Ten dzień ✔️</a>
<a href=""https://boxd.it/4UwAa7"">Kolejne 365 dni</a>

La escena del tiroteo es súper divertida... ¿cómo que esta película no es una comedia?",,2023-09-27
2023-09-29,The Next 365 Days,2022,https://boxd.it/4UwAa7,0.5,,"<a href=""https://boxd.it/4U0Sed"">365 dni ✔️</a>
<a href=""https://boxd.it/4UgiBn"">365 dni: Ten dzień ✔️</a>
<a href=""https://boxd.it/4UwAa7"">Kolejne 365 dni ✔️</a>

Por favor, que no haya cuarta parte porque encima la voy a tener que ver.",,2023-09-28
2023-09-30,The Wonderful Story of Henry Sugar,2023,https://boxd.it/4UNbuZ,4.5,Yes,"Wes Anderson's Short Films by Roald Dahl's Stories:

The Wonderful Story of Henry Sugar ✔️
The Swan
The Rat Catcher
Poison

Alucinante. Wes is back!",,2023-09-29
2023-10-01,"Red, White & Royal Blue",2023,https://boxd.it/4V8h9l,3,,"Entretenida, con lindos momentos de diversión y/o melancolía, pero que no aporta nada nuevo al género.",,2023-09-30
2023-10-02,The Disappearance of Eleanor Rigby: Him,2013,https://boxd.it/4Vu1Or,3.5,,"The Disappearance of Eleanor Rigby: Him ✔️
The Disappearance of Eleanor Rigby: Her
The Disappearance of Eleanor Rigby: Them

Una profunda historia de amor y duelo contada desde tres puntos de vista distintos: el de él, el de ella, y el de los dos juntos que, sorprendentemente, es el más neutral de todos.",,2023-10-01
2023-10-03,The Accused,2018,https://boxd.it/4VSe8h,3.5,Yes,"Logra perfectamente el cometido de los thrillers judiciales: mantenerte intrigada, mediante migajas de pistas, hasta el final.",,2023-10-02
2023-10-04,A Mother's Son,2012,https://boxd.it/4WcPOp,4,,Cuando las mejores series se veían por Europa Europa.,,2023-10-03
2023-10-05,The Heist of the Century,2020,https://boxd.it/4WvtSH,4,Yes,"Si no estuviese basada en hechos reales, la trama de esta película sería un delirio total... pero no, bienvenidos a Argentina.",,2023-10-04
2023-10-06,(500) Days of Summer,2009,https://boxd.it/4WOlsJ,4.5,Yes,"La escena del auto, mientras suena Quelqu’un m’a dit, sigue siendo la más linda y triste de toda la película, no importa cuantas veces la veas.",,2023-10-05
2023-10-07,Amour,2012,https://boxd.it/4X7vK7,0.5,,Nunca deseé tanto que una película terminara.,,2023-10-06
2023-10-08,An Unexpected Love,2018,https://boxd.it/4XqXor,1,,¿Una comedia romántica argentina de más de dos horas de duración? Inexplicablemente densa.,,2023-10-07
2023-10-09,The Weasel's Tale,2019,https://boxd.it/4XLu2D,4,,Nunca pensé que me iba a reir tanto con una escena de envenenamiento.,,2023-10-08
2023-10-10,Clemency,2019,https://boxd.it/4YcJbT,1,,La primera escena te pinta una película que después no sucede.,,2023-10-09
2023-10-11,Strange Way of Life,2023,https://boxd.it/4YvP1D,3.5,,Almodóvar tenía tramas y calidad actoral de sobra para hacer un largometraje en lugar de un corto.,,2023-10-10
2023-10-12,The Disappearance of Eleanor Rigby: Her,2013,https://boxd.it/4YReqv,3.5,,"The Disappearance of Eleanor Rigby: Him ✔️
The Disappearance of Eleanor Rigby: Her ✔️
The Disappearance of Eleanor Rigby: Them

Her posee una visión más intimista, más filosófica, pero necesita ser vista luego de Him para complementar varios detalles.",,2023-10-11
2023-10-13,Unpregnant,2020,https://boxd.it/4Z94CR,4,,"""¿Por qué diablos necesitas el permiso de tus padres para realizarte un aborto pero no para dar a luz a un bebé?""",,2023-10-12
2023-10-14,Bodies Bodies Bodies,2022,https://boxd.it/4Zt9FL,4,,Mis cuatro estrellas por ese plot twist.,,2023-10-13
2023-10-15,9 Songs,2004,https://boxd.it/4ZLMrJ,3,Yes,"I'm just here for the music, again.",,2023-10-14
2023-10-16,Blondi,2023,https://boxd.it/50b2d9,4,,Ahora las películas de I.Sat se hacen en Argentina.,,2023-10-15
2023-10-17,Bottoms,2023,https://boxd.it/50xYXX,4.5,,Lo único que le faltaba a Rachel Sennott era tener a Ayo Edebiri al lado.,,2023-10-16
2023-10-18,Watcher,2022,https://boxd.it/50RqeJ,4,,"""Do I just sound paranoid? 

Let's just hope you'll never find out. The best outcome might be having to live with the uncertainty. Better than getting raped and strangled, and dying with the words ""I told you so"" on your lips. Right?""",,2023-10-17
2023-10-19,The Son,2022,https://boxd.it/517saV,4.5,,La escena del hospital psiquiátrico es la más devastadora y real que vi en los últimos tiempos.,,2023-10-18
2023-10-20,The Girl from Uruguay,2022,https://boxd.it/51ohhb,3.5,,"Argentina 🤝 Uruguay
        Motochorros",,2023-10-19
2023-10-21,Lion's Heart,2013,https://boxd.it/51HhxB,3,Yes,Pero Francella talla baja es Francella talla baja.,,2023-10-20
2023-10-22,Adrift,2018,https://boxd.it/520bd9,4.5,,"Tiene todo: amor, Sam Claflin, catástrofe, Sam Claflin, tristeza, Sam Claflin.

Ah, y Sam Claflin.",,2023-10-21
2023-10-23,Doomed,2014,https://boxd.it/52rFc5,4,Yes,"En esta realidad alternativa, Tifón odia a Jorgito por enamorarse de su hija, Suelen.",,2023-10-22
2023-10-24,So Much Love to Give,2020,https://boxd.it/52O4Bj,2.5,,Suar haciendo de Suar con doble vida.,,2023-10-23
2023-10-25,The Swan,2023,https://boxd.it/5369vr,4,Yes,"Wes Anderson's Short Films by Roald Dahl's Stories:

The Wonderful Story of Henry Sugar ✔️
The Swan ✔️
The Rat Catcher
Poison

Behind Rupert Friend's blue eyes.",,2023-10-24
2023-10-26,The Rat Catcher,2023,https://boxd.it/53kZPr,1.5,Yes,"Wes Anderson's Short Films by Roald Dahl's Stories:

The Wonderful Story of Henry Sugar ✔️
The Swan ✔️
The Rat Catcher ✔️
Poison

Los dos cortos anteriores me fascinaron, este me dio asquito.",,2023-10-25
2023-10-27,Poison,2023,https://boxd.it/53BDwL,4,Yes,"Wes Anderson's Short Films by Roald Dahl's Stories:

The Wonderful Story of Henry Sugar ✔️
The Swan ✔️
The Rat Catcher ✔️
Poison ✔️

Dev Patel en todas sus facetas!",,2023-10-26
2023-10-28,The Wild Children,2012,https://boxd.it/541gH9,3.5,,"Venís viendo un peliculón hasta que te cruzás con un final un tanto inconcluso. Eso sí, no importa el tiempo que pase, Àlex Monner siempre está genial.",,2023-10-27
2023-10-29,White Coffin,2016,https://boxd.it/54nY79,1,,WTF ¿qué acabo de ver?,,2023-10-28
2023-10-30,Nowhere,2023,https://boxd.it/54L3nd,3.5,,"Si fingís demencia de todas las inverosimilitudes, se disfruta.",,2023-10-29
2023-10-31,I'm Not Your Mom,2019,https://boxd.it/557CnL,3,Yes,Los animadores de mis cumpleaños infantiles no se parecían en nada a Christian Sancho.,,2023-10-30
2023-11-01,Vivarium,2019,https://boxd.it/55vtXt,3.5,,Full life cycle.,,2023-10-31
2023-11-02,Forgive Us Our Trespasses,2022,https://boxd.it/55VIMn,3,Yes,Lo más triste es que todo esto pasó de verdad.,,2023-11-01
2023-11-03,Coco,2017,https://boxd.it/56dqUz,4.5,,"Hoy, más que cualquier otro día, ""porque la muerte es vida, enciende luces en otro lugar"" ❤️",,2023-11-02
2023-11-04,10 Things I Hate About You,1999,https://boxd.it/56yXOV,4.5,Yes,Toda la maldita película pensando en lo pronto que se fue Heath Ledger.,,2023-11-03
2023-11-05,Anita,2009,https://boxd.it/56UpkB,3.5,,De esas películas que no querés volver a ver porque te destruyen el corazón.,,2023-11-04
2023-11-06,Fingernails,2023,https://boxd.it/57gpu1,4,,Yo también me arrancaría las uñas por Riz Ahmed y Jeremy Allen White.,,2023-11-05
2023-11-07,Another Earth,2011,https://boxd.it/57CU0b,2.5,,"No me llegó ni la historia ni los protagonistas. Se siente más como un ensayo, del mismo director y actriz principal, para crear, luego, la magnífica I Origins.",,2023-11-06
2023-11-08,The After,2023,https://boxd.it/57WEeB,3.5,,"Si convirtieran este corto en una película, sin duda la miraría.",,2023-11-07
2023-11-09,Mean Girls,2004,https://boxd.it/58bOBZ,5,Yes,"A 19 años de su estreno, todavía ninguna película dentro del género la pudo superar ni igualar.",,2023-11-08
2023-11-10,El castigo,2022,https://boxd.it/58tHHH,4,,El monólogo final de Antonia Zegers es uno de los relatos más reales que escuché sobre la maternidad.,,2023-11-09
2023-11-11,Life Itself,2018,https://boxd.it/58LazL,4.5,,Hermosamente triste. El mismo maldito dolor en el pecho que con This Is Us.,,2023-11-10
2023-11-12,Only You,2018,https://boxd.it/5960Dv,5,Yes,Se convirtió en una de mis películas favoritas en el preciso momento en que ví a Josh O'Connor bailando I Want You y Smalltown Boy.,,2023-11-11
2023-11-13,My Love or My Passion,2017,https://boxd.it/59Dc81,2.5,,"Suar haciendo de Suar pero, esta vez, #futbolhólico.",,2023-11-12
2023-11-14,We Need to Talk About Kevin,2011,https://boxd.it/59WnTP,3.5,Yes,Verla por segunda vez es aún más anticonceptiva.,,2023-11-13
2023-11-15,Purple Hearts,2022,https://boxd.it/5a6XzV,2.5,,A mi me sobró toda la parte musical.,,2023-11-14
2023-11-16,Fair Play,2023,https://boxd.it/5apeI7,3.5,,"Industry, pero en pareja.",,2023-11-15
2023-11-17,When Evil Lurks,2023,https://boxd.it/5aFOnL,4,,"El cine de terror que me enamoró desde muy chica, ahora HECHO EN ARGENTINA! 🇦🇷",,2023-11-16
2023-11-18,Soulmates,2020,https://boxd.it/5b4l0j,3.5,,"Fingernails podría ser, tranquilamente, un gran episodio de Soulmates.",,2023-11-17
2023-11-19,Animal,2018,https://boxd.it/5bie0T,3.5,,Un puntito extra porque actúa Francella y no es una comedia.,,2023-11-18
2023-11-20,Inseparables,2016,https://boxd.it/5bB6u5,3.5,,"Es que Rodrigo de la Serna bailando ""Bombón asesino"" no ayuda para que yo lo ame menos.",,2023-11-19
2023-11-21,Normal People,2020,https://boxd.it/5c9ytR,5,Yes,"No sé cómo explicar lo que Normal People me hace sentir. Nunca una serie me llegó tan profundo al corazón, nunca una pareja de ficción traspasó tanto la pantalla. Para mi, lejos, la mejor de los últimos años.",,2023-11-20
2023-11-22,Rojo,2018,https://boxd.it/5cmy57,1,,"Debería volver a verla porque, al parecer, soy la única a la que no le gustó. Para nada.",,2023-11-21
2023-11-24,The Lobbyist,2018,https://boxd.it/5cVTyJ,3.5,,"A mi dame a De la Serna haciendo de chanta, de pibe chorro, de cura, de lo que quieras, que compro siempre.",,2023-11-22
2023-11-24,Wandering Heart,2021,https://boxd.it/5cVXxl,4,,"Sbaraglia siempre cumple pero, a gusto personal, esta es de sus mejores actuaciones. Una montaña rusa de personalidades que lo obligan a salir de sus zonas de confort.",,2023-11-23
2023-11-25,The Clan,2015,https://boxd.it/5df6ZL,4,,Debo ser de las pocas que prefiere la película de Trapero por sobre la serie de Ortega.,,2023-11-24
2023-11-26,Historia de un clan,2015,https://boxd.it/5dyZDN,3.5,,El 2015 me trae buenos recuerdos porque los miércoles eran de River en la Libertadores + el Chino Darín semidesnudo.,,2023-11-25
2023-11-27,The Lost Brother,2017,https://boxd.it/5dZ2J7,4,,"Y el libro ""Bajo este sol tremendo"" de Carlos Busqued es aún mejor.",,2023-11-26
2023-11-28,Boy Erased,2018,https://boxd.it/5ewB1P,2.5,,Poderosa historia que no me transmitió nada. Tal vez mis espectativas fueron muy altas.,,2023-11-27
